n: 25000	 # of Threads: 0	 Type 0	 Time elapsed: 20.38960
n: 25000	 # of Threads: 0	 Type 0	 Time elapsed: 20.75016
n: 25000	 # of Threads: 0	 Type 0	 Time elapsed: 20.71051
n: 25000	 # of Threads: 1	 Type 1	 Time elapsed: 20.40524
n: 25000	 # of Threads: 1	 Type 1	 Time elapsed: 20.42882
n: 25000	 # of Threads: 1	 Type 1	 Time elapsed: 20.42679
n: 25000	 # of Threads: 2	 Type 1	 Time elapsed: 10.03510
n: 25000	 # of Threads: 2	 Type 1	 Time elapsed: 10.06189
n: 25000	 # of Threads: 2	 Type 1	 Time elapsed: 10.04772
n: 25000	 # of Threads: 4	 Type 1	 Time elapsed: 8.81355
n: 25000	 # of Threads: 4	 Type 1	 Time elapsed: 8.80635
n: 25000	 # of Threads: 4	 Type 1	 Time elapsed: 8.92724
n: 25000	 # of Threads: 8	 Type 1	 Time elapsed: 9.48265
n: 25000	 # of Threads: 8	 Type 1	 Time elapsed: 9.52775
n: 25000	 # of Threads: 8	 Type 1	 Time elapsed: 9.49049
n: 25000	 # of Threads: 16	 Type 1	 Time elapsed: 9.53948
n: 25000	 # of Threads: 16	 Type 1	 Time elapsed: 9.74418
n: 25000	 # of Threads: 16	 Type 1	 Time elapsed: 9.68244
n: 25000	 # of Threads: 32	 Type 1	 Time elapsed: 9.51933
n: 25000	 # of Threads: 32	 Type 1	 Time elapsed: 9.45914
n: 25000	 # of Threads: 32	 Type 1	 Time elapsed: 9.50961
n: 25000	 # of Threads: 64	 Type 1	 Time elapsed: 9.72520
n: 25000	 # of Threads: 64	 Type 1	 Time elapsed: 9.56718
n: 25000	 # of Threads: 64	 Type 1	 Time elapsed: 9.57223

n: 25000	 # of Threads: 1	 Type 2	 Time elapsed: 28.02866
n: 25000	 # of Threads: 1	 Type 2	 Time elapsed: 27.97929
n: 25000	 # of Threads: 1	 Type 2	 Time elapsed: 27.97352
n: 25000	 # of Threads: 2	 Type 2	 Time elapsed: 26.58652
n: 25000	 # of Threads: 2	 Type 2	 Time elapsed: 20.86399
n: 25000	 # of Threads: 2	 Type 2	 Time elapsed: 15.27446
n: 25000	 # of Threads: 4	 Type 2	 Time elapsed: 12.32912
n: 25000	 # of Threads: 4	 Type 2	 Time elapsed: 14.59419
n: 25000	 # of Threads: 4	 Type 2	 Time elapsed: 11.85961
n: 25000	 # of Threads: 8	 Type 2	 Time elapsed: 7.76933
n: 25000	 # of Threads: 8	 Type 2	 Time elapsed: 7.76796
n: 25000	 # of Threads: 8	 Type 2	 Time elapsed: 7.90713
n: 25000	 # of Threads: 16	 Type 2	 Time elapsed: 11.79895
n: 25000	 # of Threads: 16	 Type 2	 Time elapsed: 11.58976
