n: 20000	 # of Threads: 6	 Type 3	 Time elapsed: 7.12576
n: 20000	 # of Threads: 5	 Type 3	 Time elapsed: 7.65938
n: 20000	 # of Threads: 8	 Type 3	 Time elapsed: 6.48106
n: 20000	 # of Threads: 8	 Type 3	 Time elapsed: 9.10872
n: 20000	 # of Threads: 8	 Type 3	 Time elapsed: 9.19454
n: 20000	 # of Threads: 8	 Type 4	 Time elapsed: 5.89821
n: 20000	 # of Threads: 8	 Type 4	 Time elapsed: 5.99163
n: 20000	 # of Threads: 8	 Type 4	 Time elapsed: 6.06613
n: 20000	 # of Threads: 8	 Type 4	 Time elapsed: 8.76977
n: 20000	 # of Threads: 8	 Type 4	 # of cores: 3	 Time elapsed: 8.85099
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 3	 Time elapsed: 14.37627
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 3	 Time elapsed: 14.61052
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 6	 Time elapsed: 9.88558
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 9.26926
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 9.22043
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 4	 Time elapsed: 9.32578
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 9.13538
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 9.14083
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 9.40803
n: 20000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 10.14790
n: 20000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 10.09392
n: 30000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 17.56028
n: 30000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 14.61236
n: 30000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 23.82911
n: 30000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 23.47206
n: 30000	 # of Threads: 8	 Type 1	 # of cores: 5	 Time elapsed: 71.10317
n: 30000	 # of Threads: 8	 Type 1	 # of cores: 5	 Time elapsed: 17.97852
n: 30000	 # of Threads: 8	 Type 1	 # of cores: 5	 Time elapsed: 75.51429
n: 30000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 14.58535
n: 30000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 17.44426
n: 30000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 17.59198
n: 30000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 17.56884
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 9.08122
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 9.04244
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 9.46549
n: 20000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 9.39834
n: 25000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 13.86159
