n: 25000	 # of Threads: 1	 Type 3	 # of cores: 5	 Time elapsed: 20.38054
n: 25000	 # of Threads: 1	 Type 3	 # of cores: 5	 Time elapsed: 20.29533
n: 25000	 # of Threads: 1	 Type 3	 # of cores: 5	 Time elapsed: 21.44795
n: 25000	 # of Threads: 2	 Type 3	 # of cores: 5	 Time elapsed: 17.69834
n: 25000	 # of Threads: 2	 Type 3	 # of cores: 5	 Time elapsed: 17.39403
n: 25000	 # of Threads: 2	 Type 3	 # of cores: 5	 Time elapsed: 17.46643
n: 25000	 # of Threads: 4	 Type 3	 # of cores: 5	 Time elapsed: 13.68932
n: 25000	 # of Threads: 4	 Type 3	 # of cores: 5	 Time elapsed: 13.68738
n: 25000	 # of Threads: 4	 Type 3	 # of cores: 5	 Time elapsed: 13.69955
n: 25000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 13.95039
n: 25000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 13.95230
n: 25000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 13.90620
n: 25000	 # of Threads: 16	 Type 3	 # of cores: 5	 Time elapsed: 12.23852
n: 25000	 # of Threads: 16	 Type 3	 # of cores: 5	 Time elapsed: 11.90848
n: 25000	 # of Threads: 16	 Type 3	 # of cores: 5	 Time elapsed: 11.74281
n: 25000	 # of Threads: 32	 Type 3	 # of cores: 5	 Time elapsed: 11.53472
n: 25000	 # of Threads: 32	 Type 3	 # of cores: 5	 Time elapsed: 11.51676
n: 25000	 # of Threads: 32	 Type 3	 # of cores: 5	 Time elapsed: 11.46846
n: 25000	 # of Threads: 64	 Type 3	 # of cores: 5	 Time elapsed: 11.51502
n: 25000	 # of Threads: 64	 Type 3	 # of cores: 5	 Time elapsed: 11.38890
n: 25000	 # of Threads: 64	 Type 3	 # of cores: 5	 Time elapsed: 11.36766
n: 25000	 # of Threads: 1	 Type 4	 # of cores: 5	 Time elapsed: 28.15813
n: 25000	 # of Threads: 1	 Type 4	 # of cores: 5	 Time elapsed: 27.95550
n: 25000	 # of Threads: 1	 Type 4	 # of cores: 5	 Time elapsed: 27.95207
n: 25000	 # of Threads: 2	 Type 4	 # of cores: 5	 Time elapsed: 14.09644
n: 25000	 # of Threads: 2	 Type 4	 # of cores: 5	 Time elapsed: 14.27443
n: 25000	 # of Threads: 2	 Type 4	 # of cores: 5	 Time elapsed: 16.15787
n: 25000	 # of Threads: 4	 Type 4	 # of cores: 5	 Time elapsed: 15.70026
n: 25000	 # of Threads: 4	 Type 4	 # of cores: 5	 Time elapsed: 16.86649
n: 25000	 # of Threads: 4	 Type 4	 # of cores: 5	 Time elapsed: 13.15709
n: 25000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 13.81049
n: 25000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 13.83039
n: 25000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 13.69956
n: 25000	 # of Threads: 16	 Type 4	 # of cores: 5	 Time elapsed: 13.25158
n: 25000	 # of Threads: 16	 Type 4	 # of cores: 5	 Time elapsed: 13.48273
n: 25000	 # of Threads: 16	 Type 4	 # of cores: 5	 Time elapsed: 13.41231
n: 25000	 # of Threads: 32	 Type 4	 # of cores: 5	 Time elapsed: 13.47021
n: 25000	 # of Threads: 32	 Type 4	 # of cores: 5	 Time elapsed: 13.54633
n: 25000	 # of Threads: 32	 Type 4	 # of cores: 5	 Time elapsed: 13.52753
n: 25000	 # of Threads: 64	 Type 4	 # of cores: 5	 Time elapsed: 14.42929
n: 25000	 # of Threads: 64	 Type 4	 # of cores: 5	 Time elapsed: 14.42323
n: 25000	 # of Threads: 64	 Type 4	 # of cores: 5	 Time elapsed: 16.04253
n: 30000	 # of Threads: 1	 Type 3	 # of cores: 5	 Time elapsed: 29.62788
n: 30000	 # of Threads: 1	 Type 3	 # of cores: 5	 Time elapsed: 29.63651
n: 30000	 # of Threads: 1	 Type 3	 # of cores: 5	 Time elapsed: 29.71974
n: 30000	 # of Threads: 2	 Type 3	 # of cores: 5	 Time elapsed: 38.77674
n: 30000	 # of Threads: 2	 Type 3	 # of cores: 5	 Time elapsed: 38.81657
n: 30000	 # of Threads: 2	 Type 3	 # of cores: 5	 Time elapsed: 38.91912
n: 30000	 # of Threads: 4	 Type 3	 # of cores: 5	 Time elapsed: 20.70046
n: 30000	 # of Threads: 4	 Type 3	 # of cores: 5	 Time elapsed: 20.63627
n: 30000	 # of Threads: 4	 Type 3	 # of cores: 5	 Time elapsed: 20.76995
n: 30000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 20.45601
n: 30000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 20.51357
n: 30000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 20.52536
n: 30000	 # of Threads: 16	 Type 3	 # of cores: 5	 Time elapsed: 18.11261
n: 30000	 # of Threads: 16	 Type 3	 # of cores: 5	 Time elapsed: 18.06690
n: 30000	 # of Threads: 16	 Type 3	 # of cores: 5	 Time elapsed: 18.06908
n: 30000	 # of Threads: 32	 Type 3	 # of cores: 5	 Time elapsed: 17.94267
n: 30000	 # of Threads: 32	 Type 3	 # of cores: 5	 Time elapsed: 18.00830
n: 30000	 # of Threads: 32	 Type 3	 # of cores: 5	 Time elapsed: 18.01018
n: 30000	 # of Threads: 64	 Type 3	 # of cores: 5	 Time elapsed: 16.77437
n: 30000	 # of Threads: 64	 Type 3	 # of cores: 5	 Time elapsed: 16.91046
n: 30000	 # of Threads: 64	 Type 3	 # of cores: 5	 Time elapsed: 16.95982
n: 30000	 # of Threads: 1	 Type 4	 # of cores: 5	 Time elapsed: 40.54613
n: 30000	 # of Threads: 1	 Type 4	 # of cores: 5	 Time elapsed: 40.27291
n: 30000	 # of Threads: 1	 Type 4	 # of cores: 5	 Time elapsed: 40.26223
n: 30000	 # of Threads: 2	 Type 4	 # of cores: 5	 Time elapsed: 22.97845
n: 30000	 # of Threads: 2	 Type 4	 # of cores: 5	 Time elapsed: 20.85925
n: 30000	 # of Threads: 2	 Type 4	 # of cores: 5	 Time elapsed: 20.81786
n: 30000	 # of Threads: 4	 Type 4	 # of cores: 5	 Time elapsed: 14.67200
n: 30000	 # of Threads: 4	 Type 4	 # of cores: 5	 Time elapsed: 18.39144
n: 30000	 # of Threads: 4	 Type 4	 # of cores: 5	 Time elapsed: 18.30062
n: 30000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 14.52580
n: 30000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 14.67597
n: 30000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 14.07227
n: 30000	 # of Threads: 16	 Type 4	 # of cores: 5	 Time elapsed: 13.55957
n: 30000	 # of Threads: 16	 Type 4	 # of cores: 5	 Time elapsed: 13.72298
n: 30000	 # of Threads: 16	 Type 4	 # of cores: 5	 Time elapsed: 13.63017
n: 30000	 # of Threads: 32	 Type 4	 # of cores: 5	 Time elapsed: 13.48828
n: 30000	 # of Threads: 32	 Type 4	 # of cores: 5	 Time elapsed: 13.87116
n: 30000	 # of Threads: 32	 Type 4	 # of cores: 5	 Time elapsed: 14.34543
n: 30000	 # of Threads: 64	 Type 4	 # of cores: 5	 Time elapsed: 15.94400
n: 30000	 # of Threads: 64	 Type 4	 # of cores: 5	 Time elapsed: 15.76179
n: 30000	 # of Threads: 64	 Type 4	 # of cores: 5	 Time elapsed: 15.89006
n: 40000	 # of Threads: 1	 Type 3	 # of cores: 5	 Time elapsed: 148.59496
n: 40000	 # of Threads: 1	 Type 3	 # of cores: 5	 Time elapsed: 149.27298
n: 40000	 # of Threads: 1	 Type 3	 # of cores: 5	 Time elapsed: 148.43428
n: 40000	 # of Threads: 2	 Type 3	 # of cores: 5	 Time elapsed: 76.28223
n: 40000	 # of Threads: 2	 Type 3	 # of cores: 5	 Time elapsed: 76.15080
n: 40000	 # of Threads: 2	 Type 3	 # of cores: 5	 Time elapsed: 76.20565
n: 40000	 # of Threads: 4	 Type 3	 # of cores: 5	 Time elapsed: 39.04552
n: 40000	 # of Threads: 4	 Type 3	 # of cores: 5	 Time elapsed: 39.09880
n: 40000	 # of Threads: 4	 Type 3	 # of cores: 5	 Time elapsed: 39.05422
n: 40000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 39.48576
n: 40000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 39.31374
n: 40000	 # of Threads: 8	 Type 3	 # of cores: 5	 Time elapsed: 39.49110
n: 40000	 # of Threads: 16	 Type 3	 # of cores: 5	 Time elapsed: 39.74614
n: 40000	 # of Threads: 16	 Type 3	 # of cores: 5	 Time elapsed: 39.74806
n: 40000	 # of Threads: 16	 Type 3	 # of cores: 5	 Time elapsed: 39.88269
n: 40000	 # of Threads: 32	 Type 3	 # of cores: 5	 Time elapsed: 35.19559
n: 40000	 # of Threads: 32	 Type 3	 # of cores: 5	 Time elapsed: 35.01562
n: 40000	 # of Threads: 32	 Type 3	 # of cores: 5	 Time elapsed: 35.22703
n: 40000	 # of Threads: 64	 Type 3	 # of cores: 5	 Time elapsed: 33.15616
n: 40000	 # of Threads: 64	 Type 3	 # of cores: 5	 Time elapsed: 33.21265
n: 40000	 # of Threads: 64	 Type 3	 # of cores: 5	 Time elapsed: 33.04787
n: 40000	 # of Threads: 1	 Type 4	 # of cores: 5	 Time elapsed: 72.15619
n: 40000	 # of Threads: 1	 Type 4	 # of cores: 5	 Time elapsed: 71.60574
n: 40000	 # of Threads: 1	 Type 4	 # of cores: 5	 Time elapsed: 71.57279
n: 40000	 # of Threads: 2	 Type 4	 # of cores: 5	 Time elapsed: 53.52862
n: 40000	 # of Threads: 2	 Type 4	 # of cores: 5	 Time elapsed: 36.70836
n: 40000	 # of Threads: 2	 Type 4	 # of cores: 5	 Time elapsed: 38.03845
n: 40000	 # of Threads: 4	 Type 4	 # of cores: 5	 Time elapsed: 27.42125
n: 40000	 # of Threads: 4	 Type 4	 # of cores: 5	 Time elapsed: 32.18627
n: 40000	 # of Threads: 4	 Type 4	 # of cores: 5	 Time elapsed: 27.41012
n: 40000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 29.78806
n: 40000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 28.78149
n: 40000	 # of Threads: 8	 Type 4	 # of cores: 5	 Time elapsed: 28.35832
n: 40000	 # of Threads: 16	 Type 4	 # of cores: 5	 Time elapsed: 27.78299
n: 40000	 # of Threads: 16	 Type 4	 # of cores: 5	 Time elapsed: 27.49680
n: 40000	 # of Threads: 16	 Type 4	 # of cores: 5	 Time elapsed: 27.78714
n: 40000	 # of Threads: 32	 Type 4	 # of cores: 5	 Time elapsed: 27.34551
n: 40000	 # of Threads: 32	 Type 4	 # of cores: 5	 Time elapsed: 27.66985
n: 40000	 # of Threads: 32	 Type 4	 # of cores: 5	 Time elapsed: 27.40884
n: 40000	 # of Threads: 64	 Type 4	 # of cores: 5	 Time elapsed: 28.28538
n: 40000	 # of Threads: 64	 Type 4	 # of cores: 5	 Time elapsed: 27.63021
n: 40000	 # of Threads: 64	 Type 4	 # of cores: 5	 Time elapsed: 28.10774
